Year,Name,Team,CMP,ATT,YD,TD,INT,Y/C,Y/G,FP
2021,Tom Brady,TAM,485,719.0,5316,43,12,312.7,102.1,360.64
2021,Justin Herbert,LAC,443,672.0,5014,38,15,294.9,97.7,322.56
2021,Matthew Stafford,LAR,404,601.0,4886,41,17,287.4,102.9,325.44
2021,Patrick Mahomes,KAN,436,658.0,4839,37,13,284.6,98.5,315.56
2021,Derek Carr,LVR,428,626.0,4804,23,14,282.6,94.0,256.15999999999997
2021,Joe Burrow,CIN,366,520.0,4611,34,14,288.2,108.3,292.44
2021,Dak Prescott,DAL,410,596.0,4449,37,10,278.1,104.2,305.96000000000004
2021,Josh Allen,BUF,409,646.0,4407,36,15,259.2,92.2,290.28
2021,Kirk Cousins,MIN,372,561.0,4221,33,7,263.8,103.1,286.84000000000003
2021,Aaron Rodgers,GNB,366,531.0,4115,37,4,257.2,111.9,304.6
2021,Matt Ryan,ATL,375,560.0,3968,20,12,233.4,90.4,214.72
2021,Jimmy Garoppolo,SFO,301,441.0,3810,20,12,254.0,98.7,208.4
2021,Mac Jones,NWE,352,521.0,3801,22,13,223.6,92.5,214.04
2021,Kyler Murray,ARI,333,481.0,3787,24,10,270.5,100.6,227.48
2021,Ben Roethlisberger,PIT,390,605.0,3740,22,10,233.8,86.8,217.6
2021,Ryan Tannehill,TEN,357,531.0,3734,21,14,219.6,89.6,205.36
2021,Trevor Lawrence,JAX,359,602.0,3641,12,17,214.2,71.9,159.64
2021,Carson Wentz,IND,322,516.0,3563,27,7,209.6,94.6,236.52
2021,Taylor Heinicke,WAS,321,494.0,3419,20,15,213.7,85.9,186.76
2021,Jared Goff,DET,332,494.0,3245,19,8,231.8,91.5,189.8
2021,Jalen Hurts,PHI,265,432.0,3144,16,9,209.6,87.2,171.76
2021,Russell Wilson,SEA,259,400.0,3113,25,6,222.4,103.1,212.51999999999998
2021,Teddy Bridgewater,DEN,285,426.0,3052,18,7,218.0,94.9,180.07999999999998
2021,Baker Mayfield,CLE,253,418.0,3010,17,13,215.0,83.1,162.4
2021,Lamar Jackson,BAL,246,382.0,2882,16,13,240.2,87.0,153.28
2021,Davis Mills,HOU,263,394.0,2664,16,10,204.9,88.8,150.56
2021,Tua Tagovailoa,MIA,263,388.0,2653,16,10,204.1,90.1,150.12
2021,Sam Darnold,CAR,243,406.0,2527,9,13,210.6,71.9,111.07999999999998
2021,Daniel Jones,NYG,232,361.0,2428,10,7,220.7,84.8,123.12
2021,Zach Wilson,NYJ,213,383.0,2334,9,11,179.5,69.7,107.36000000000001
2021,Justin Fields,CHI,159,270.0,1870,7,10,155.8,73.2,82.8
2021,Andy Dalton,CHI,149,236.0,1515,8,9,189.4,76.9,74.6
2021,Jacoby Brissett,MIA,141,225.0,1283,5,4,116.6,78.1,63.31999999999999
2021,Jameis Winston,NOR,95,161.0,1170,14,3,167.1,102.8,96.8
